study_id,n_successful_sims,true_mu02,true_mu03,true_kappa2,true_omega2,true_omega3,rec_mean_mu02,rec_mean_mu03,rec_mean_kappa2,rec_mean_omega2,rec_mean_omega3,rec_b1_mu02,rec_b1_mu03,rec_b1_kappa2,rec_b1_omega2,rec_b1_omega3,rec_b2_mu02,rec_b2_mu03,rec_b2_kappa2,rec_b2_omega2,rec_b2_omega3,mu02_sim1,mu03_sim1,kappa2_sim1,omega2_sim1,omega3_sim1,mu02_sim2,mu03_sim2,kappa2_sim2,omega2_sim2,omega3_sim2,mu02_sim3,mu03_sim3,kappa2_sim3,omega2_sim3,omega3_sim3,mu02_sim4,mu03_sim4,kappa2_sim4,omega2_sim4,omega3_sim4,mu02_sim5,mu03_sim5,kappa2_sim5,omega2_sim5,omega3_sim5,mu02_sim6,mu03_sim6,kappa2_sim6,omega2_sim6,omega3_sim6,mu02_sim7,mu03_sim7,kappa2_sim7,omega2_sim7,omega3_sim7,mu02_sim8,mu03_sim8,kappa2_sim8,omega2_sim8,omega3_sim8,mu02_sim9,mu03_sim9,kappa2_sim9,omega2_sim9,omega3_sim9,mu02_sim10,mu03_sim10,kappa2_sim10,omega2_sim10,omega3_sim10,mu02_b1_sim1,mu03_b1_sim1,kappa2_b1_sim1,omega2_b1_sim1,omega3_b1_sim1,mu02_b1_sim2,mu03_b1_sim2,kappa2_b1_sim2,omega2_b1_sim2,omega3_b1_sim2,mu02_b1_sim3,mu03_b1_sim3,kappa2_b1_sim3,omega2_b1_sim3,omega3_b1_sim3,mu02_b1_sim4,mu03_b1_sim4,kappa2_b1_sim4,omega2_b1_sim4,omega3_b1_sim4,mu02_b1_sim5,mu03_b1_sim5,kappa2_b1_sim5,omega2_b1_sim5,omega3_b1_sim5,mu02_b1_sim6,mu03_b1_sim6,kappa2_b1_sim6,omega2_b1_sim6,omega3_b1_sim6,mu02_b1_sim7,mu03_b1_sim7,kappa2_b1_sim7,omega2_b1_sim7,omega3_b1_sim7,mu02_b1_sim8,mu03_b1_sim8,kappa2_b1_sim8,omega2_b1_sim8,omega3_b1_sim8,mu02_b1_sim9,mu03_b1_sim9,kappa2_b1_sim9,omega2_b1_sim9,omega3_b1_sim9,mu02_b1_sim10,mu03_b1_sim10,kappa2_b1_sim10,omega2_b1_sim10,omega3_b1_sim10,mu02_b2_sim1,mu03_b2_sim1,kappa2_b2_sim1,omega2_b2_sim1,omega3_b2_sim1,mu02_b2_sim2,mu03_b2_sim2,kappa2_b2_sim2,omega2_b2_sim2,omega3_b2_sim2,mu02_b2_sim3,mu03_b2_sim3,kappa2_b2_sim3,omega2_b2_sim3,omega3_b2_sim3,mu02_b2_sim4,mu03_b2_sim4,kappa2_b2_sim4,omega2_b2_sim4,omega3_b2_sim4,mu02_b2_sim5,mu03_b2_sim5,kappa2_b2_sim5,omega2_b2_sim5,omega3_b2_sim5,mu02_b2_sim6,mu03_b2_sim6,kappa2_b2_sim6,omega2_b2_sim6,omega3_b2_sim6,mu02_b2_sim7,mu03_b2_sim7,kappa2_b2_sim7,omega2_b2_sim7,omega3_b2_sim7,mu02_b2_sim8,mu03_b2_sim8,kappa2_b2_sim8,omega2_b2_sim8,omega3_b2_sim8,mu02_b2_sim9,mu03_b2_sim9,kappa2_b2_sim9,omega2_b2_sim9,omega3_b2_sim9,mu02_b2_sim10,mu03_b2_sim10,kappa2_b2_sim10,omega2_b2_sim10,omega3_b2_sim10,sim1_success,sim2_success,sim3_success,sim4_success,sim5_success,sim6_success,sim7_success,sim8_success,sim9_success,sim10_success
TP471,0,-0.308281064,-2.939758478,0.439662191,1.088996375,-0.868502352,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0
TP487,10,0.0158949055,1.0002612935,0.6347570495,-1.0784985165,-1.8933753255,0.00171052296933603,0.999092129457198,0.601222687484967,-1.96313734943345,-1.99820022770505,0.00162587207457132,0.999555065160647,0.601159728463279,-1.97159870807845,-1.99848710738713,0.00179517386410074,0.998629193753748,0.601285646506655,-1.95467599078845,-1.99791334802297,0.00394704696606477,0.993106371802241,0.599779605299781,-1.96581278936924,-1.99901593891708,0.00506691109184323,1.00016946283287,0.600971939774406,-1.90809572817973,-1.99414755736098,0.00372816988403798,1.00036097389485,0.597525815218176,-1.98779274733517,-2.00013697204648,0.00222137965700675,0.999785589177106,0.600227795616031,-2.00058502764616,-2.00152706945399,0.00514634242739652,1.00013706524758,0.605080327721019,-1.86215418325603,-1.99072097930589,-0.00107424640446503,0.998732293047803,0.601934778857591,-1.94935517508057,-1.9974394345214,0.00165470477346657,0.998810899839924,0.602164983563205,-1.99345385034995,-2.00026467556733,-0.00272244845123848,1.00247096877752,0.598670420091558,-2.00500075430305,-1.99926497972249,0.00224362641663672,1.00169335850291,0.600070357473292,-2.05778889071549,-2.00438975392764,-0.00310625666738872,0.995654311449178,0.60580085123461,-1.90133434809914,-1.99509491622718,0.00362478504003675,0.993971234314924,0.600535356849409,-1.89410252935449,-1.99449858426031,0.00320782161229588,1.00129363758312,0.603317792433843,-1.90489463889539,-1.99349433514609,0.00454845290433025,1.00274995131653,0.599116713553141,-1.96326999625218,-1.99810543720522,0.00166155239876888,0.99916951443598,0.600188123273959,-2.00147249856193,-2.00120909467434,0.0047857674079562,0.998858036774464,0.606268775263195,-1.860351030843,-1.99197581097672,-0.00130143445218239,0.998660229911003,0.600099897973668,-2.00207225942198,-1.99912760692183,0.00233350321144177,0.998849400588131,0.599490576135674,-1.99845244386086,-2.00057777016326,-0.00149133975933439,1.00258433744569,0.601732557213576,-1.99454106628459,-1.99852280581981,0.00134475018654244,1.00177154790655,0.601246021676251,-2.03797431834321,-2.0026917130643,-0.00245513780414214,0.99764276133008,0.599601470260077,-2.05885629896693,-2.00466791563939,0.00426930889209279,0.992241509289558,0.599023853750153,-2.037523049384,-2.00353329357385,0.00692600057139059,0.999045288082619,0.598626087114968,-1.91129681746406,-1.99480077957587,0.00290788686374572,0.997971996473168,0.595934916883211,-2.01231549841815,-2.00216850688773,0.00278120691524462,1.00040166391823,0.600267467958103,-1.99969755673039,-2.00184504423365,0.00550691744683684,1.0014160937207,0.603891880178844,-1.86395733566907,-1.98946614763507,-0.000847058356747666,0.998804356184604,0.603769659741513,-1.89663809073916,-1.99575126212096,0.000975906335491373,0.998772399091717,0.604839390990735,-1.98845525683904,-1.99995158097141,-0.00395355714314257,1.00235760010935,0.595608282969541,-2.01546044232151,-2.00000715362516,0.00314250264673101,1.00161516909926,0.598894693270333,-2.07760346308777,-2.00608779479099,-0.0037573755306353,0.993665861568277,0.612000232209144,-1.74381239723135,-1.98552191681497,1,1,1,1,1,1,1,1,1,1
TP477,0,-0.5188179165,-1.1972484365,0.4575044835,1.653651892,-0.0891323905,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0
TP465,10,-0.008902794,-0.00834155249999996,0.461860999,2.3331142205,0.2474056235,-0.130861915371298,-0.00124940274647219,0.531344381665738,0.201352608135119,0.00796744919014558,-0.0898342110259615,0.509886168404258,0.523858257597834,0.379943403763512,0.523996529466083,-0.171889619716635,-0.512384973897202,0.538830505733642,0.0227618125067268,-0.508061631085792,-0.0418076648286048,-0.606470418157122,0.532387910423459,0.493985772434417,0.520502183823176,-0.307320949119687,-0.96337573980682,0.51593348250114,0.45740253793683,0.268230700342116,0.0490598396492122,1.12377469069922,0.525920100466188,-0.582445712274427,-0.845507723426627,-0.0296677386522247,0.973683237210578,0.621834681273244,-1.37360586772142,-1.92393547534279,0.0105340926913505,-0.347348092373334,0.511567883004214,0.718349444646851,0.433584105430783,-0.0659330882209091,0.984381340260531,0.576214708597088,-0.187382083590531,-0.67227538926523,-0.259253042890055,-0.574586669514956,0.50950955929854,0.635105401191919,0.438915168692037,-0.44907672380642,-0.444711552685332,0.509366405758033,0.618637964267654,0.505141003343593,-0.105543255360449,-0.286174116488401,0.495838405055504,0.470999551462513,0.669820618508641,-0.109610623175195,0.128333293390914,0.514870680279966,0.762479072997383,0.685199299795757,-0.0496656305688206,0.308928320448344,0.550743966484682,0.441990062096276,0.931196221124719,-0.274243131167012,-0.0237407174244577,0.521696994075671,0.619299460084494,1.13460238852937,0.0519156236822302,1.12519427297928,0.437959198028035,0.418969508082233,0.282572871869246,-0.00409654916042944,0.993731158271339,0.618677337075483,-1.38326821434462,-1.94074479631342,0.026186248322628,0.670510087306057,0.509706292762078,0.648955023340821,0.835192773191871,-0.0439097213366297,1.0060175796179,0.51567906110591,0.746634152509745,0.523149328406986,-0.133188933373058,0.155596159225287,0.540652941212278,0.616605816444072,0.927219926237576,-0.473327372661447,-0.137341890989731,0.520998553726662,0.657535169308702,0.922522184941407,-0.00389452713448603,0.435707038336503,0.511711573643272,0.328513609543926,0.925342029783576,0.0058818831374093,0.564259676272057,0.510756657864267,0.704199450569472,0.698912366889498,-0.033949699088389,-1.52186915676259,0.514031854362237,0.545981482772558,0.109808146521634,-0.340398767072361,-1.90301076218918,0.510169970926609,0.295505615789167,-0.598140987845142,0.0462040556161942,1.12235510841916,0.613881002904342,-1.58386093263109,-1.9735883187225,-0.0552389281440199,0.953635316149816,0.624992025471005,-1.36394352109821,-1.90712615437216,-0.00511806293992705,-1.36520627205273,0.513429473246349,0.78774386595288,0.0319754376696959,-0.0879564551051884,0.962745100903164,0.636750356088267,-1.12139831969081,-1.86770010693745,-0.385317152407052,-1.3047694982552,0.478366177384803,0.653604985939766,-0.0493895888535027,-0.424826074951392,-0.752081214380933,0.497734257789404,0.579740759226605,0.0877598217457788,-0.207191983586411,-1.00805527131331,0.479965236467736,0.6134854933811,0.414299207233705,-0.2251031294878,-0.307593089490228,0.518984702695665,0.820758695425294,0.671486232702017,1,1,1,1,1,1,1,1,1,1
TP468,0,-0.084550037,-0.862000557,0.4623560845,2.396281922,-0.568460723,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0
TP481,0,-0.20245386,-1.45019994,0.502229713,1.1274202275,0.3226967865,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0
TP476,0,-0.2374418295,-2.1914011675,0.4923579245,0.795378562,-0.1595470515,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0
TP486,0,-0.181942982,-1.3300176205,0.473274827,1.662437604,-0.653920368,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,0,0,0,0
TP464,10,-0.081258323,0.070974793,0.4493487035,2.64773786,-1.421286639,-0.0242547456861588,0.754087804585847,0.586916866747987,-0.539735212502429,-0.975258924574709,0.00546219735579094,0.9939359023745,0.57962080906739,-0.698670617750149,-1.16958961801498,-0.0539716887281086,0.514239706797193,0.594212924428584,-0.380799807254709,-0.780928231134439,-0.00353056764067922,0.976940464489586,0.635517729352595,-1.13110821542429,-1.83547137238078,-0.000469138096186168,0.996994939585848,0.613419120267518,-1.56569460568085,-1.94692859959429,-0.0178207278603492,0.719867237875234,0.590773406808977,-0.0502775809792448,-0.387872300763942,-0.0332474214559312,0.985014903396665,0.633240437638983,-1.18967093077015,-1.87191690701026,-0.0803215853822295,1.10081295206464,0.552598599020453,-0.246769746009692,-0.795653596146522,-0.0889588874212808,0.146955815446157,0.585466067936924,-0.168734305746285,-0.487408338791137,-0.0578261482801886,0.30603681932925,0.578206684635094,-0.293849213793238,-0.467012633450249,0.0795756736780919,0.722094230874806,0.562303078991377,-0.190034848506779,-0.572342405527786,-0.0203552732190611,1.1105511181488,0.540601694986237,-0.381823434951597,-0.844577382053409,-0.0195933811837744,0.475609564647487,0.57704184784171,-0.179389243162167,-0.543405710028717,-0.00759501654529857,0.977285588574577,0.637085913437249,-1.04668731458082,-1.79592249785442,0.00418451813054927,1.0043201756799,0.606243998321063,-1.80207776434536,-1.98041958149875,0.0197732234825927,0.995248158476047,0.63900737587538,-0.909556978879522,-1.68114531668869,-0.017256063281157,0.994484411906727,0.627900777357999,-1.32085992033389,-1.88240415498079,-0.0529250269996144,1.12360731886275,0.462507874187171,0.614924295137684,0.255201664055234,-0.0196383523166069,1.01254700312799,0.635126680028691,-1.11609451122457,-1.80235489250872,0.00576843504239408,1.0029708710026,0.619193189567478,-1.27440280969521,-1.8993837188992,0.0869720609500395,0.721177331957375,0.494970168280176,0.671178167954075,0.761271489690379,0.0155890650912234,1.12401976361266,0.43935604487663,0.338171750257546,0.130134786526899,0.0197491300037873,0.98369840054437,0.634816068742063,-1.14130109179143,-1.80087395799175,0.000533881263940132,0.976595340404595,0.633949545267941,-1.21552911626776,-1.87502024690713,-0.00512279432292161,0.989669703491791,0.620594242213973,-1.32931144701635,-1.91343761768983,-0.0554146792032911,0.444486317274422,0.542539437742575,0.809001816921032,0.905400715160809,-0.0492387796307054,0.975545394886604,0.638580097919967,-1.0584819412064,-1.86142965903974,-0.107718143764845,1.07801858526653,0.642689323853735,-1.10846378715707,-1.84650885634828,-0.158279422525955,-0.718635372235675,0.535805455845158,0.778625899732005,0.827538214926442,-0.121420731602771,-0.390897232344103,0.53722017970271,0.68670438210873,0.965358451998699,0.0721792864061443,0.723011129792237,0.629635989702578,-1.05124786496763,-1.90595630074595,-0.0562996115293456,1.09708247268493,0.641847345095844,-1.10181862016074,-1.81928955063372,-0.0589358923713361,-0.0324792712493966,0.519267626941357,0.782522605467095,0.714062537934314,1,1,1,1,1,1,1,1,1,1
TP467,10,-0.0220807925,0.6341515345,0.567723203,0.0781114265,-0.9555515805,-0.00198904241037802,1.00183036427166,0.603281212873519,-1.89124858802826,-1.98965780413346,-0.00177361983938331,1.00186394608873,0.603774052960217,-1.87651187263633,-1.98699815622597,-0.00220446498137274,1.0017967824546,0.602788372786821,-1.9059853034202,-1.99231745204094,-0.00227791379125534,0.998097460535273,0.607311841327379,-1.79069267330016,-1.98269359669956,-0.00100371297317876,1.00018499075039,0.598145202992484,-2.04030599138852,-2.00305284843485,-0.00201214396523576,1.00461888104713,0.603755317095873,-1.86169637965634,-1.99124868444598,-0.000869000365020806,0.999270978353782,0.601350489769158,-1.93137974133767,-1.99552542053376,0.000276430595222587,0.999642710704612,0.599039348639161,-2.00036093293796,-1.99860777806536,0.00657421752215204,0.999697135639488,0.604200564661439,-1.86507367362129,-1.98887260329681,-0.0184651755277844,1.01347238807741,0.608228821211509,-1.7490131673234,-1.96615733089267,-0.0021246428471387,1.00541067764179,0.604923143778217,-1.87053492857278,-1.9871388926604,0.00536226939705891,0.996061130154915,0.603904617664362,-1.85845509512086,-1.98861211725003,-0.00535075214860003,1.00184728981183,0.601952781595605,-1.94497329702366,-1.99466876905514,0.00390356760841441,0.9982598289864,0.604883824952535,-1.86143505049201,-1.98734553010344,0.000623193625109413,1.00046237889932,0.596428282960834,-2.08042112348778,-2.00630898480569,-0.00264408316269658,1.00654022036086,0.60250325075981,-1.92179156306627,-1.99369959004307,0.000416452308133574,0.997719640192793,0.603015041999519,-1.86466226866117,-1.99455389807695,0.000511582008914932,0.999745653291962,0.598443890144654,-2.05987614560918,-2.0006355147841,0.00656548206807462,1.00137256226383,0.606318162840642,-1.81255849035479,-1.98180024750313,-0.0199132105766065,1.01315130915749,0.613818976744776,-1.57082188037633,-1.93926880667673,-0.00223030196158303,1.00385502093322,0.608703953710495,-1.74341069288999,-1.97928539388592,0.00336995336790709,0.99580130782601,0.604603323798155,-1.81532176959119,-1.9863798029038,-0.00833883367950099,1.00173153897538,0.599021821690747,-2.03481974183458,-2.00070379347688,-0.0084593951909251,0.997935092084146,0.609739857702222,-1.7199502961083,-1.97804166329567,-0.00263061957146694,0.999907602601455,0.599862123024134,-2.00019085928925,-1.99979671206401,-0.00138020476777494,1.0026975417334,0.605007383431937,-1.80160119624642,-1.98879777884889,-0.00215445303817519,1.00082231651477,0.599685937538796,-1.99809721401417,-1.99649694299056,4.12791815302417e-05,0.999539768117263,0.599634807133668,-1.94084572026675,-1.99658004134662,0.00658295297622946,0.998021709015152,0.602082966482237,-1.91758885688779,-1.99594495909049,-0.0170171404789622,1.01379346699732,0.602638665678241,-1.92720445427047,-1.99304585510862,-0.00201898373269438,1.00696633435037,0.601142333845939,-1.99765916425557,-1.99499239143489,0.00735458542621072,0.99632095248382,0.60320591153057,-1.90158842065052,-1.99084443159625,-0.00236267061769908,1.00196304064828,0.604883741500463,-1.85512685221273,-1.9886337446334,1,1,1,1,1,1,1,1,1,1
